hour_bucket,calls_mean,male_mean,female_mean,duet_mean
5,2.5243445692883895,2.0374531835205993,0.4868913857677903,0.23220973782771537
6,5.41578947368421,4.102631578947369,1.313157894736842,0.65
7,4.315196998123827,3.4052532833020637,0.9099437148217636,0.4540337711069418
8,4.871501272264631,3.9134860050890583,0.9580152671755725,0.4732824427480916
9,5.196195005945303,4.1117717003567185,1.084423305588585,0.4863258026159334
10,4.983253588516747,4.033492822966507,0.9497607655502392,0.42105263157894735
11,4.784688995215311,3.8373205741626792,0.9473684210526315,0.4748803827751196
12,4.8086124401913874,3.8588516746411483,0.9497607655502392,0.44138755980861244
13,4.568181818181818,3.623205741626794,0.9449760765550239,0.4043062200956938
14,4.58183990442055,3.5902031063321385,0.991636798088411,0.45997610513739545
15,4.72488038277512,3.638755980861244,1.0861244019138756,0.4449760765550239
16,4.714652956298201,3.710796915167095,1.0038560411311055,0.41002570694087404
17,3.5235690235690234,2.696969696969697,0.8265993265993266,0.3265993265993266
18,2.086393088552916,1.5982721382289418,0.48812095032397407,0.20302375809935205
