location,male,female,duet,individual
F09,0.5835,0.145,0.0523,0.7285
N20,0.5669,0.1575,0.0866,0.7244
C05,0.4796,0.068,0.0136,0.5476
D09,0.3103,0.1147,0.0304,0.425
H09,0.3482,0.0526,0.0324,0.4008
H04,0.2766,0.0961,0.0489,0.3727
M04,0.2078,0.1558,0.0552,0.3636
D03,0.2003,0.0219,0.0034,0.2222
WB09,0.1803,0.0306,0.017,0.2109
WD05,0.1851,0.0227,0.0195,0.2078
T10,0.1311,0.0205,0.0041,0.1516
K09,0.0586,0.0195,0.0117,0.0781
J11,0.0455,0.0135,0.0118,0.059
E07,0.0204,0.0,0.0,0.0204
J07,0.0167,0.0,0.0,0.0167
E04,0.0137,0.0,0.0,0.0137
TOTAL,0.2265,0.0574,0.0242,0.2839
