Location,Solo_Male,Solo_Female,Duets,Individual,False_Positives,Close,Low_Noise
C05,220,118,41,420,13,16,79
D03,301,3,22,348,10,28,82
F10,197,47,42,328,29,15,43
G05,238,7,11,267,24,8,26
D09,184,24,19,246,23,29,57
M04,182,21,18,239,149,28,56
NB14,163,17,14,208,75,14,45
S23,151,12,12,187,21,9,33
N20,84,35,11,141,260,14,43
H04,102,4,6,118,39,10,23
S13T,80,18,10,118,28,10,24
V04,43,12,9,73,8,6,14
CB11,38,16,3,60,21,2,11
H09,47,1,0,48,31,1,9
N08M,26,0,4,34,5,7,7
A11,20,1,2,25,34,0,3
W04,14,4,1,20,12,4,5
W20,12,5,0,17,11,1,3
J06,5,4,0,9,9,3,4
TOTAL,2107,349,225,2906,802,205,567
