location,2021-11-13,2021-11-25,2021-12-18,2022-01-17,2022-02-12,2022-04-27,2022-05-27,2022-06-18,2022-08-27,2022-10-08,2022-12-17,2023-02-17,2023-04-15,2023-06-10,2023-07-22,2023-09-11,2023-11-02,2023-12-25
A01,,,,,,,0.0,,,,,,,,,,,
A11,,,,,,0.0283,0.0,,,0.0,0.0,,,,,0.0072,0.0035,
B12M,,,,,,0.0017,0.0262,,,,,,,,,,,
C01,,,,,0.0,,,,,,,,,,,,,
C05,0.1215,0.0928,0.1046,0.0429,0.04,0.0691,0.069,0.0136,0.0388,0.1214,0.0891,0.0906,0.0833,0.0725,0.1135,0.0684,0.0911,0.1698
CB11,,0.0,,,,,,,,,,0.0127,0.004,,,0.0108,0.0187,
D03,,,,,,0.0034,,0.0034,0.0051,0.0223,0.0843,,,0.0189,0.0384,0.0371,0.0417,0.0252
D05,,,,,,,,,,,,0.0235,0.0,,,,,
D09,,,,,,0.0118,,0.0304,0.0472,0.0455,0.02,0.0399,0.0516,0.0388,0.0152,0.0317,0.0135,0.0063
E04,,,,,,,,0.0,,,,,,,,,,
E07,,,,,,,,0.0,0.0,0.0034,0.0073,,,,,,,
F05,,,,,,,,,,,0.0037,0.0181,0.0258,,,,,
F09,,,,,,0.1366,,0.0523,0.0438,0.1409,0.1655,0.1397,0.121,0.0877,,,,
F10,,,,,,,,,,,,,,,,0.0897,0.0414,0.1824
G05,0.0054,,,,,,,,,,,0.1368,0.033,0.0219,,0.0244,0.0064,0.0084
H04,,,,,,0.1012,,0.0489,0.0422,0.0152,0.0873,0.1294,0.0565,0.0354,0.0206,0.01,0.0033,0.0042
H05,,,,,0.1086,,,,,,,,,,,,,
H07,,,,0.0571,,,,,,,,,,,,,,
H09,,,,,,0.0784,,0.0324,,,,,,,,0.0,,
H14,,,,,,0.0,,,,,,,,,,,,
H15,,,,0.0,0.0114,,,,0.0072,,,,,,,,,
J06,,,,,,,,,,,,,,,,0.0,0.0,
J07,,,,,,0.0033,,0.0,,,,,,,,,,
J11,,,,,,0.0,,0.0118,0.0169,0.0,0.0055,,,,,,,
K09,,,,0.0095,0.0,0.0081,,0.0117,0.0159,0.0,0.0372,0.0125,0.0042,,,,,
KS06,,,,,,,,,,0.0,0.0385,0.0455,0.0036,,,,,
M01,,,,,,0.0273,0.0389,,,,,,,,,,,
M02,,0.0252,,,,,,,,,,,,,,,,
M04,,,,,,0.032,0.0404,0.0552,0.0084,0.0152,0.0745,0.1071,0.0694,0.0725,0.0725,0.0301,0.0155,0.0901
M05,0.0,,,,,,,,,,,,,,,,,
N08M,,,,,,,,,,,,,0.0055,,,0.0165,0.0037,
N14,,,0.0184,0.0048,0.0,0.0245,,,0.0244,0.0,0.1932,0.0244,0.0083,0.0,0.0117,,0.0275,0.0483
N20,,,,,,0.1653,0.096,0.0866,,0.1952,0.1933,0.0894,0.0791,0.0793,0.0651,0.0185,0.0366,
NB14,,,,,,,,,,,,0.0214,0.0159,0.0067,0.0189,0.0236,0.0202,0.0168
NB5T,,,,,,,,,,,,0.0984,0.0181,,,,,
S13T,,,,,,,,,0.0206,0.0483,0.0036,0.0529,0.0085,,,0.0382,0.0263,
S23,,,,,,,,,,,,,,,,0.0443,0.0074,
T10,,,,,,,,0.0041,0.0754,0.004,0.0622,,,,,,,
V04,,,,,,,,,,,,,,,,0.0378,0.029,
V05,,,,,,,,,,,,0.1236,0.0073,,,,,
V23,,,,,,,,,,,,0.0507,,,,,,
W04,,,,,,,,,,,,,,,,0.0043,0.0,
W20,,,,,,,,,,,,,,,,0.0,0.015,
WB09,,,,,,,,0.017,0.0135,0.0067,,,,,,,,
WD05,,,,,,0.0219,0.0238,0.0195,0.0118,0.0101,0.0018,,,,,,,
WD07,,,0.0038,,,,,,,,,,,,,,,
