location,2021-11-13,2021-11-25,2021-12-18,2022-01-17,2022-02-12,2022-03-23,2022-04-27,2022-05-27,2022-06-18,2022-08-27,2022-10-08,2022-12-17,2023-02-17,2023-04-15,2023-06-10,2023-07-22,2023-09-11,2023-11-02
A01,,,,,,,,0.0033,,,,,,,,,,
A11,,,,,,,0.0389,0.007,,,0.0,0.0041,,,,,0.0108,0.0035
B12M,,,,,,,0.0101,0.031,,,,,,,,,,
C01,,,,,0.0,,,,,,,,,,,,,
C05,0.1776,0.1139,0.1506,0.3095,0.1486,,0.1703,0.1571,0.068,0.1349,0.2378,0.1836,0.1978,0.2123,0.1568,0.1903,0.2654,0.1332
CB11,,0.0084,,,,,,,,,,,0.0327,0.0258,,,0.0683,0.0522
D03,,,,,,,0.0337,,0.0219,0.0135,0.0739,0.118,,,0.0309,0.0451,0.0422,0.0317
D05,,,,,,,,,,,,,0.0647,0.0041,,,,
D09,,,,,,,0.0624,,0.1147,0.1417,0.14,0.078,0.0998,0.1706,0.1096,0.0438,0.0718,0.027
E04,,,,,,,,,0.0,,,,,,,,,
E07,,,,,,,,,0.0,0.0034,0.0051,0.0073,,,,,,
F05,,,,,,,,,,,,0.0074,0.0327,0.0556,,,,
F09,,,,,,,0.2614,,0.145,0.0809,0.2234,0.2855,0.2468,0.2242,0.1653,,,
F10,,,,,,,,,,,,,,,,,0.1902,0.0719
G05,0.0054,,,,,,,,,,,,0.2107,0.0639,0.0405,,0.04,0.0171
H04,,,,,,,0.1602,,0.0961,0.1046,0.0253,0.1855,0.281,0.1131,0.0725,0.0773,0.0167,0.0033
H05,,,,,0.2229,,,,,,,,,,,,,
H07,,,,0.1143,,,,,,,,,,,,,,
H09,,,,,,,0.1255,,0.0526,,,,,,,,0.0036,
H14,,,,,,,0.0143,,,,,,,,,,,
H15,,,,0.0,0.0229,,,,,0.0108,,,,,,,,
J06,,,,,,,,,,,,,,,,,0.0147,0.0
J07,,,,,,,0.01,,0.0,,,,,,,,,
J11,,,,,,,0.0,,0.0135,0.0405,0.0023,0.0091,,,,,,
K09,,,,0.0238,0.0286,,0.0242,,0.0195,0.0598,0.108,0.1446,0.0375,0.0252,,,,
KS06,,,,,,,,,,,0.0515,0.0909,0.0909,0.0217,,,,
M01,,,,,,,0.0664,0.0817,,,,,,,,,,
M02,,0.0798,,,,,,,,,,,,,,,,
M04,,,,,,,0.1315,0.1116,0.1558,0.0776,0.0658,0.1891,0.2668,0.1885,0.1619,0.1619,0.0651,0.0344
M05,0.0045,,,,,,,,,,,,,,,,,
N08M,,,,,,,,,,,,,,0.0055,,,0.0165,0.0073
N14,,,0.0441,0.0143,0.0057,0.0944,,,,0.0662,0.0,0.322,0.0285,0.0124,0.0,0.0134,,0.0421
N20,,,,,,,0.2177,0.184,0.1575,,0.3386,0.2773,0.1821,0.1734,0.1855,0.172,0.0776,0.0682
NB14,,,,,,,,,,,,,0.0777,0.0516,0.0422,0.0704,0.0523,0.0202
NB5T,,,,,,,,,,,,,0.0984,0.0325,,,,
S13T,,,,,,,,,,0.0859,0.1931,0.12,0.1827,0.0763,,,0.1069,0.0564
S23,,,,,,,,,,,,,,,,,0.0886,0.0185
T10,,,,,,,,,0.0205,0.1706,0.004,0.1452,,,,,,
V04,,,,,,,,,,,,,,,,,0.0882,0.0652
V05,,,,,,,,,,,,,0.1927,0.0401,,,,
V23,,,,,,,,,,,,,0.1739,,,,,
W04,,,,,,,,,,,,,,,,,0.0216,0.0042
W20,,,,,,,,,,,,,,,,,0.019,0.0188
WB09,,,,,,,,,0.0306,0.0236,0.0101,,,,,,,
WD05,,,,,,,0.0337,0.0381,0.0227,0.0152,0.0118,0.0036,,,,,,
WD07,,,0.0038,,,,,,,,,,,,,,,
