location,2021-11-13,2021-11-25,2021-12-18,2022-01-17,2022-02-12,2022-04-27,2022-05-27,2022-06-18,2022-08-27,2022-10-08,2022-12-17,2023-02-17,2023-04-15,2023-06-10,2023-07-22,2023-09-11,2023-11-02
A01,,,,,,,0.0,,,,,,,,,,
A11,,,,,,0.1166,0.0662,,,0.0156,0.0286,,,,,0.0791,0.156
B12M,,,,,,0.2441,0.55,,,,,,,,,,
C01,,,,,0.0171,,,,,,,,,,,,
C05,0.5421,0.5021,0.4895,0.5571,0.4457,0.5801,0.731,0.4796,0.3744,0.742,1.0527,0.8336,0.8036,0.6863,0.8481,0.4357,0.4975
CB11,,0.1055,,,,,,,,,,0.1996,0.0794,,,0.1475,0.3209
D03,,,,,,0.1686,,0.2003,0.3204,0.1271,0.317,,,0.1838,0.399,0.5447,0.6477
D05,,,,,,,,,,,,0.2353,0.0373,,,,
D09,,,,,,0.2715,,0.3103,0.3423,0.5666,0.3013,0.4664,0.369,0.3946,0.2563,0.3389,0.2462
E04,,,,,,,,0.0137,,,,,,,,,
E07,,,,,,,,0.0204,0.0464,0.0826,0.1073,,,,,,
F05,,,,,,,,,,,0.2796,0.4428,0.3651,,,,
F09,,,,,,0.8078,,0.5835,0.4317,0.8076,1.2255,0.9419,0.9008,0.8196,,,
F10,,,,,,,,,,,,,,,,0.5107,0.5861
G05,0.086,,,,,,,,,,,0.9279,0.5419,0.4334,,0.5533,0.3932
H04,,,,,,0.3592,,0.2766,0.2226,0.1872,0.5509,0.5287,0.347,0.2057,0.1667,0.1803,0.1402
H05,,,,,0.3143,,,,,,,,,,,,
H07,,,,0.181,,,,,,,,,,,,,
H09,,,,,,0.4275,,0.3482,,,,,,,,0.1709,
H14,,,,,,0.0143,,,,,,,,,,,
H15,,,,0.0143,0.0514,,,,0.0466,,,,,,,,
J06,,,,,,,,,,,,,,,,0.0184,0.0109
J07,,,,,,0.0067,,0.0167,,,,,,,,,
J11,,,,,,0.0101,,0.0455,0.1079,0.0046,0.0509,,,,,,
K09,,,,0.0476,0.0457,0.0524,,0.0586,0.0637,0.18,0.2025,0.1125,0.0798,,,,
KS06,,,,,,,,,,0.1065,0.1503,0.1039,0.058,,,,
M01,,,,,,0.1172,0.2023,,,,,,,,,,
M02,,0.1429,,,,,,,,,,,,,,,
M04,,,,,,0.1686,0.2138,0.2078,0.1467,0.2479,0.3145,0.3775,0.3373,0.285,0.403,0.3339,0.2079
M05,0.0724,,,,,,,,,,,,,,,,
N08M,,,,,,,,,,,,,0.0383,,,0.124,0.1722
N14,,,0.1029,0.0524,0.0795,0.1923,,,0.331,0.055,0.5492,0.1016,0.0248,0.0275,0.0701,,0.2125
N20,,,,,,0.6532,0.636,0.5669,,0.8566,1.0924,0.425,0.3687,0.5632,0.4057,0.1602,0.1947
NB14,,,,,,,,,,,,0.1314,0.1567,0.1164,0.2113,0.2985,0.1754
NB5T,,,,,,,,,,,,0.3109,0.1516,,,,
S13T,,,,,,,,,0.1787,0.2069,0.1782,0.3125,0.2288,,,0.3435,0.297
S23,,,,,,,,,,,,,,,,0.6015,0.3
T10,,,,,,,,0.1311,0.4484,0.0526,0.5062,,,,,,
V04,,,,,,,,,,,,,,,,0.2185,0.279
V05,,,,,,,,,,,,0.52,0.1496,,,,
V23,,,,,,,,,,,,0.2645,,,,,
W04,,,,,,,,,,,,,,,,0.0647,0.0672
W20,,,,,,,,,,,,,,,,0.0456,0.0526
WB09,,,,,,,,0.1803,0.3238,0.3406,,,,,,,
WD05,,,,,,0.2559,0.3095,0.1851,0.1754,0.2546,0.3236,,,,,,
WD07,,,0.0644,,,,,,,,,,,,,,
